Country,Year,Emission
Asia,1870,19400880
Asia,1871,22522608
Asia,1872,25944784
Asia,1873,29839616
Asia,1874,34012912
Asia,1875,39307392
Asia,1876,44993920
Asia,1877,51068832
Asia,1878,56678416
Asia,1879,63955120
Asia,1880,72331024
Asia,1881,81164928
Asia,1882,90544768
Asia,1883,100591456
Asia,1884,112752272
Asia,1885,126745088
Asia,1886,141639248
Asia,1887,158533952
Asia,1888,177187376
Asia,1889,198229728
Asia,1890,221990768
Asia,1891,248144400
Asia,1892,262313088
Asia,1893,277474720
Asia,1894,295300080
Asia,1895,314792560
Asia,1896,335336608
Asia,1897,357503808
Asia,1898,384577104
Asia,1899,411965504
Asia,1900,445879488
Asia,1901,486297072
Asia,1902,527923776
Asia,1903,571917424
Asia,1904,620370160
Asia,1905,671120224
Asia,1906,727794976
Asia,1907,789024080
Asia,1908,854492432
Asia,1909,919436832
Asia,1910,989694032
Asia,1911,1066583072
Asia,1912,1149547024
Asia,1913,1238977936
Asia,1914,1335777152
Americas,1870,11589232
Americas,1871,13369936
Americas,1872,15216592
Americas,1873,16828752
Americas,1874,18448240
Americas,1875,20324208
Americas,1876,22181856
Americas,1877,24204384
Americas,1878,26138976
Americas,1879,28322720
Americas,1880,33554912
Americas,1881,39142512
Americas,1882,45756032
Americas,1883,53186624
Americas,1884,61789696
Americas,1885,70037360
Americas,1886,78841952
Americas,1887,90083104
Americas,1888,104292096
Americas,1889,117339600
Americas,1890,131138224
Americas,1891,146585648
Americas,1892,162505728
Americas,1893,179488368
Americas,1894,196240176
Americas,1895,213098240
Americas,1896,231209392
Americas,1897,249452448
Americas,1898,269073168
Americas,1899,292709632
Americas,1900,317500256
Americas,1901,349061952
Americas,1902,383514544
Americas,1903,420711472
Americas,1904,464195824
Americas,1905,510501456
Americas,1906,562138208
Americas,1907,624074464
Americas,1908,690140048
Americas,1909,752651552
Americas,1910,825737360
Americas,1911,913695344
Americas,1912,1009787408
Americas,1913,1122158624
Americas,1914,1218170080
Europe,1870,10420240128
Europe,1871,10866683872
Europe,1872,11348976192
Europe,1873,11856938496
Europe,1874,12325307616
Europe,1875,12842030544
Europe,1876,13362754560
Europe,1877,13881060336
Europe,1878,14402161744
Europe,1879,14939326128
Europe,1880,15544358784
Europe,1881,16164681312
Europe,1882,16805965584
Europe,1883,17482138464
Europe,1884,18152584512
Europe,1885,18822590880
Europe,1886,19490197328
Europe,1887,20182612720
Europe,1888,20916097888
Europe,1889,21682789888
Europe,1890,22482216064
Europe,1891,23307429472
Europe,1892,24116876688
Europe,1893,24896847024
Europe,1894,25746993952
Europe,1895,26615094480
Europe,1896,27524609200
Europe,1897,28474863936
Europe,1898,29451781600
Europe,1899,30488810848
Europe,1900,31573838496
Europe,1901,32645302016
Europe,1902,33718905312
Europe,1903,34841507280
Europe,1904,35979355152
Europe,1905,37160053504
Europe,1906,38370327664
Europe,1907,39713092064
Europe,1908,41077107664
Europe,1909,42438034512
Europe,1910,43821275120
Europe,1911,45235307984
Europe,1912,46690952896
Europe,1913,48267425536
Europe,1914,49671158896
Africa,1870,0
Africa,1871,0
Africa,1872,0
Africa,1873,0
Africa,1874,0
Africa,1875,0
Africa,1876,0
Africa,1877,0
Africa,1878,0
Africa,1879,0
Africa,1880,0
Africa,1881,0
Africa,1882,0
Africa,1883,0
Africa,1884,153888
Africa,1885,410368
Africa,1886,743792
Africa,1887,1077216
Africa,1888,1641472
Africa,1889,2564800
Africa,1890,4642288
Africa,1891,6719776
Africa,1892,10079664
Africa,1893,22672832
Africa,1894,39703104
Africa,1895,63068432
Africa,1896,92871408
Africa,1897,126316400
Africa,1898,168661248
Africa,1899,207287136
Africa,1900,223599264
Africa,1901,250965680
Africa,1902,291746000
Africa,1903,346903856
Africa,1904,409151552
Africa,1905,480742448
Africa,1906,562511936
Africa,1907,652745264
Africa,1908,746169936
Africa,1909,853455520
Africa,1910,974902464
Africa,1911,1092447248
Africa,1912,1217602160
Africa,1913,1354262032
Africa,1914,1490277040
Oceania,1870,0
Oceania,1871,0
Oceania,1872,0
Oceania,1873,0
Oceania,1874,0
Oceania,1875,0
Oceania,1876,0
Oceania,1877,0
Oceania,1878,0
Oceania,1879,0
Oceania,1880,0
Oceania,1881,0
Oceania,1882,0
Oceania,1883,0
Oceania,1884,65952
Oceania,1885,175872
Oceania,1886,318768
Oceania,1887,461664
Oceania,1888,703488
Oceania,1889,1099200
Oceania,1890,1989552
Oceania,1891,2879904
Oceania,1892,4319856
Oceania,1893,9716928
Oceania,1894,17015616
Oceania,1895,27029328
Oceania,1896,39802032
Oceania,1897,54135600
Oceania,1898,72283392
Oceania,1899,88837344
Oceania,1900,95828256
Oceania,1901,107556720
Oceania,1902,125034000
Oceania,1903,148721760
Oceania,1904,175461632
Oceania,1905,206242896
Oceania,1906,241395312
Oceania,1907,280186080
Oceania,1908,320394816
Oceania,1909,366550224
Oceania,1910,418784208
Oceania,1911,469380384
Oceania,1912,523241184
Oceania,1913,582059376
Oceania,1914,640712688
